timestamp<>generation<>best_networks<>best_fitness<>time_taken (sec)<>species<>max_GIN<>
2024-10-24T16:12:15.021<>0<><><>1.2405481338500977<>1<>263, ForwardConnection, 65, 68<>
2024-10-24T16:12:43.339<>1<>1<>-180332.64686897962<>17.31373882293701<>1<>263, ForwardConnection, 65, 68<>
2024-10-24T16:12:48.680<>2<>1<>-178303.85863702217<>5.208770036697388<>1<>263, ForwardConnection, 65, 68<>
2024-10-24T16:12:54.272<>3<>1<>-176344.6761511418<>5.590749025344849<>1<>266, ForwardConnection, 264, 67<>
2024-10-24T16:12:59.569<>4<>1<>-175390.2957877067<>5.295897960662842<>1<>266, ForwardConnection, 264, 67<>
2024-10-24T16:13:04.921<>5<>1<>-174407.33963360393<>5.350965976715088<>1<>269, ForwardConnection, 267, 66<>
2024-10-24T16:13:10.174<>6<>1<>-173498.46539390375<>5.2526021003723145<>1<>272, ForwardConnection, 270, 66<>
2024-10-24T16:13:15.447<>7<>1<>-173498.46539390375<>5.271961212158203<>1<>272, ForwardConnection, 270, 66<>
2024-10-24T16:13:20.614<>8<>1<>-173498.46539390375<>5.166230916976929<>1<>272, ForwardConnection, 270, 66<>
2024-10-24T16:13:26.574<>9<>1<>-173491.86678769471<>5.959573984146118<>1<>272, ForwardConnection, 270, 66<>
2024-10-24T16:13:31.640<>10<>1<>-173491.86678769471<>5.065470933914185<>1<>272, ForwardConnection, 270, 66<>
2024-10-24T16:13:36.900<>11<>1<>-173481.38143715388<>5.25835108757019<>1<>272, ForwardConnection, 270, 66<>
2024-10-24T16:13:42.130<>12<>1<>-173465.2419485507<>5.229974031448364<>1<>272, ForwardConnection, 270, 66<>
2024-10-24T16:13:47.296<>13<>1<>-173458.54603007992<>5.164745092391968<>1<>275, ForwardConnection, 273, 68<>
2024-10-24T16:13:52.577<>14<>1<>-173458.54603007992<>5.281038045883179<>1<>275, ForwardConnection, 273, 68<>
2024-10-24T16:13:58.265<>15<>1<>-173449.43972397022<>5.6871349811553955<>1<>275, ForwardConnection, 273, 68<>
2024-10-24T16:14:03.494<>16<>1<>-173424.1244210558<>5.227658033370972<>1<>275, ForwardConnection, 273, 68<>
2024-10-24T16:14:08.799<>17<>1<>-173424.1244210558<>5.305046081542969<>1<>278, ForwardConnection, 276, 67<>
2024-10-24T16:14:14.004<>18<>1<>-173392.10798069887<>5.203732967376709<>1<>278, ForwardConnection, 276, 67<>
2024-10-24T16:14:19.266<>19<>1<>-173383.66737289744<>5.2620110511779785<>1<>278, ForwardConnection, 276, 67<>
2024-10-24T16:14:24.590<>20<>1<>-173375.81530413814<>5.322980165481567<>1<>278, ForwardConnection, 276, 67<>
2024-10-24T16:14:30.221<>21<>1<>-173360.44931280604<>5.629583835601807<>1<>278, ForwardConnection, 276, 67<>
2024-10-24T16:14:35.381<>22<>1<>-173359.0954111148<>5.159386873245239<>1<>281, ForwardConnection, 279, 67<>
